"Timestamp","¿De dónde venís? (ciudad, provincia)","¿Cuántos kilómetros hiciste para llegar?","¿En qué llegaste?","¿Cuántas veces te bañaste?","¿A cuántos PyCamp fuiste? (contando el actual)?","¿En cuántos proyectos participaste en este PyCamp?","¿Programaste Python durante el PyCamp?","¿Escuchaste ronquidos?","¿Viniste acompañado?","¿Pensás asistir a otro PyCamp?","¿Participaste de alguna actividad extra?","¿Jugaste algún juego?","Mencioná cosas de las que más te gustaron","¿Qué nota le pondrías a la comida?","¿Qué nota le pondrías a los dormitorios?","¿Qué nota le pondrías a Internet?","¿Qué nota le pondrías al lugar?","¿Volverías a un PyCamp en este mismo lugar?","¿Dónde te gustaría que se haga un PyCamp?","Tu edad","¿Cuál es tu signo del zodíaco?","¿Qué animal del horóscopo chino sos?","¿Cómo describirías tu nivel de manejo de Python?","¿Usas Python en tu profesión?","¿Tenés preferencias o limitaciones alimentarias?","Género autopercibido","¿Tenés hijes?","¿Querés dejar algún otro feedback?"
"2024/06/22 6:21:34 PM GMT-3","Buenos Aires","950","Auto propio (con otros PyCampistas)","5","2","1","Si","Si","No","Sí","No","No","","6","6","3","6","Sí","Cordoba","27","Leo","rata","Aprendo rapido","Nada","No","Varón Cis","0","Agregar alguna pregunta de mascotas y otra de rubro de trabajo"
"2024/06/22 6:22:03 PM GMT-3","Quilmes ","1000","Auto (de otro PyCampista)","3","1","3","Si","Si","Si","Tal vez","Sí","Sí","Comida aprender ","8","3","3","6","No","Costa Atlántica","25","Aries","conejo","Intermedio ","Poco","No","Varón Cis","0",""
"2024/06/22 6:24:17 PM GMT-3","Alta Gracia, Córdoba ","926","Ómnibus","3","2","3","Si","Si","No","Sí","No","Sí","Las charlas con gente que no conocía ","7","3","3","8","Tal vez","Córdoba ","32","Libra","cabra","7","Mucho","No","Varón Cis","1",""
"2024/06/22 6:25:03 PM GMT-3","Cordoba","900","Ómnibus","2","6","4","Si","No","No","Tal vez","Sí","Sí","amistades, conversaciones, ingenuidad, simpleza","6","3","2","3","No","Mendoza, Verónica, Córdoba","43","","","muy bueno","Mucho","Sí","Varón Cis","",""
"2024/06/22 6:26:01 PM GMT-3","Florida, Buenos Aires ","850","Auto propio (con otros PyCampistas)","3","16","4","Si","Si","Si","Sí","Sí","Sí","Juegos, diversidad ","8","5","7","8","Sí","El sur ","49","Tauro","cerdo","Experto ","Mucho","No","Varón Cis","2",""
"2024/06/22 6:26:53 PM GMT-3","ciudad autónoma de Buenos Aires ","3141","Avión","4","2","3","Si","Si","No","Sí","No","No","Python, fernet","8","8","6","9","Sí","cordoba","32","Libra","mono","juancarlosbatman","Algo","No","Varón Cis","0",""
"2024/06/22 6:27:43 PM GMT-3","Capital federal caba","950","Avión","6","6","2","Si","Si","No","Sí","Sí","Sí","","9","8","4","8","Sí","Mendoza san ráfael","34","Piscis","caballo","Medio alto","Mucho","No","Varón Cis","0","Quiero más frutas para el próximo pycamp y internet de starlink"
"2024/06/22 6:28:25 PM GMT-3","Buenos Aires","918 ","Avión","5","3","2","Si","Si","Si","Sí","Sí","Sí","Retro-Python, lamedh","7","6","4","9","Sí","Mendoza","27","Escorpión","rata","Avanzado ","Mucho","No","Varón Cis","0","Javi, Hugo y Fisa saben mucho :)"
"2024/06/22 6:28:42 PM GMT-3","Buenos aires","920","Avión","4","2","1","No","Si","Si","Sí","Sí","Sí","Pileta, mesa de ping pong, juegos de mesa, cabañas, asado","8","8","3","9","Sí","Bariloche","25","Piscis","conejo","Intermedio","Poco","No","Varón Cis","0",""
"2024/06/22 6:30:22 PM GMT-3","Caba","750","Auto (de otro PyCampista)","4","3","0","No","Si","Si","Tal vez","Sí","Sí","","8","4","2","7","No","Sur","29","Cáncer","rata","Pauperrimo","Poco","Sí","Varón Cis","0","No"
"2024/06/22 6:34:11 PM GMT-3","Recoleta","920","Avión","3","1","2","No","Si","Si","Sí","Sí","Sí","Proyectos, amigos, programacion, python, javascript, pileta, cerveza, fazo","9","8","3","8","Tal vez","Bariloche","27","Piscis","buey","No compila","Nada","No","Varón Cis","0",""
"2024/06/22 6:36:26 PM GMT-3","Buenos Aires, Vicente Lopez","850","Auto (de otro PyCampista)","3","3","1","Si","Si","Si","Sí","Sí","Sí","","9","5","7","8","Sí","","14","Libra","buey","Mediocre pero no tanto","Nada","Sí","Varón Cis","0","Que en las próximas encuestas estén las casas de Hogwarts ;)"
"2024/06/22 6:38:12 PM GMT-3","Gualeguay","1000","Ómnibus","3","3","3","Si","No","Si","Sí","No","Sí","","8","8","1","9","Sí","Lugar donde sea fácil llegar en omnibus","25","Virgo","","Junior","Nada","Sí","Varón Cis","0",""
"2024/06/22 6:38:46 PM GMT-3","Caba ,Almagro ","800","Auto (de otro PyCampista)","3","1","2","Si","Si","No","Sí","Sí","Sí","Juegos de mesa , conocer gente ","7","7","4","8","Sí","Calafate , Ushuaia ","24","Sagitario","conejo","Basico","Nada","No","Mujer Cis","0",""
"2024/06/22 6:39:32 PM GMT-3","Caba","879","Avión","1","3","3","Si","Si","No","Sí","Sí","Sí","Compañia, juegos, desafios, aire libre","9","6","6","8","Sí","Mendoza","30","Leo","gallo","Alto","Mucho","No","Varón Cis","0","Free chipa!"
"2024/06/22 6:40:21 PM GMT-3","Lanus Buenos Aires","835","Auto (de otro PyCampista)","4","2","2","Si","Si","Si","Sí","Sí","Sí","Juegos Gente Comunidad Python","10","9","6","8","Sí","Calafate o Ushuaia","17","Escorpión","perro","Basico","Nada","No","Varón Cis","0","No"
"2024/06/22 6:40:36 PM GMT-3","Buenos Aires, Buenos Airez","800","Auto (de otro PyCampista)","4","1","2","Si","No","Si","No","Sí","Sí","Juegos, comida, gente","7","4","3","8","Tal vez","Bariloche ","23","Cáncer","serpiente","Muy Bajo","Poco","No","Varón Cis","0",""
"2024/06/22 6:43:56 PM GMT-3","Villa Lugano, CABA","900","Auto (de otro PyCampista)","4","1","2","No","Si","Si","Tal vez","Sí","Sí","comunidad, ayuda, humildad","8","1","3","8","Tal vez","","27","Piscis","dragón","Muy básico","Nada","No","","0",""
"2024/06/22 6:53:32 PM GMT-3","CABA","900","Auto (de otro PyCampista)","5","1","1","No","Si","Si","Tal vez","Sí","Sí","","8","1","3","7","Tal vez","","27","Piscis","","Básico","Nada","No","Mujer Cis","0",""
"2024/06/22 6:55:43 PM GMT-3","La Plata. buenos Aires","960","Ómnibus","2","1","2","Si","Si","Si","Sí","Sí","Sí","Compañeres, juegos, proyectos","10","2","2","8","Tal vez","Mendoza","32","Acuario","gallo","Masomeno","Mucho","No","Varón Cis","0","Aguante la PyCamp!"
"2024/06/22 7:05:27 PM GMT-3","La Plata, Buenos Aires","960 ","Ómnibus","2","1","2","No","Si","Si","Sí","Sí","Sí","Personas, música , juegos, naturaleza, comida, perritos","10","4","1","8","Tal vez","En el sur","32","Libra","cabra","Casi nulo","Nada","No","Mujer Cis","0","Muchas gracias por todo, lo estoy pasando muy lindo . Son personas geniales !"
"2024/06/22 7:07:50 PM GMT-3","Jesús María, Córdoba","1300","Ómnibus","3","6","2","Si","No","Si","Sí","No","Sí","Python comunidad amistad gente","10","6","5","7","Sí","Bariloche rosario","41","Leo","perro","Sayayin","Algo","No","Varón Cis","2","PyAr es amor"
