Timestamp,¿De dónde venís? (por lo menos ciudad + provincia),¿Cuántos kilómetros hiciste para llegar?,¿En qué llegaste?,¿Cuántas veces te bañaste?,¿A cuántos PyCamp fuiste? (contando el actual)?,¿En cuántos proyectos participaste en este PyCamp?,¿Programaste Python durante el PyCamp?,¿Escuchaste ronquidos?,¿Viniste acompañado?,¿Pensás asistir a otro PyCamp?,¿Participaste de alguna actividad extra?,¿Jugaste algún juego?,Mencioná cosas de las que más te gustaron,¿Qué nota le pondrías a la comida?,¿Qué nota le pondrías a los dormitorios?,¿Qué nota le pondrías a Internet?,¿Qué nota le pondrías al lugar?,¿Volverías a un PyCamp en este mismo lugar?,¿Dónde te gustaría que se haga un PyCamp?,Tu edad,¿Cuál es tu signo del zodíaco?,¿Qué animal del horóscopo chino sos?,¿Cómo describirías tu nivel de manejo de Python?,¿Usas Python en tu profesión?,¿Tenés preferencias o limitaciones alimentarias?,Género autopercibido,¿Tenés hijes?,¿Querés dejar algún otro feedback?
3/23/2025 21:20:43,Caba,159,Auto (de otro PyCampista),7,4,0,Si,Si,Si,Sí,Sí,Sí,Stickers memes sonrisas,8,4,7,7,Tal vez,Villa la angostura,29,Cáncer,cerdo,Pauperrimo,Poco,Sí,Varón Cis,0,"No, gracias"
3/23/2025 21:26:58,Córdoba,600,Auto propio (con otros PyCampistas),5,8,3,Si,Si,No,Sí,Sí,Sí,Go habitaciones ventilador ,8,8,8,8,Sí,Mendoza,43,Aries,perro,Masivo bro,Mucho,Sí,Varón Cis,3,
3/23/2025 21:29:46,Rosario ,160,Auto (de otro PyCampista),3,,10,Si,No,No,Sí,Sí,Sí,La gente ,9,6,10,8,Sí,Malvinas ,35,Tauro,caballo,Oxidado ,Algo,Sí,Varón Cis,0,
3/23/2025 21:30:09,CABA ,150,Auto propio (con otros PyCampistas),4,8,2,No,Si,No,Sí,No,Sí,dormir,8,7,8,7,Sí,Tandil,43,Libra,gallo,Avanzado,Algo,No,Varón Cis,2,Gracias por tanto
3/23/2025 21:30:31,"San rafael, Mendoza,  Argentina ",1300,Auto (de otro PyCampista),5,7,3,Si,Si,No,Sí,Sí,Sí,"Tablero go, python, verticales,bots",9,8,8,7,Sí,"Patagonia, cordoba, santa fe",39,Escorpión,,Avanzado,Mucho,No,Varón Cis,3,
3/23/2025 21:33:12,"Boedo, Ciudad Autónoma de Buenos Aires, Argentina ",159,Auto propio (con otros PyCampistas),5,7,3,Si,No,Si,Sí,Sí,Sí,Comunidad Ventilador,9,6,10,7,Sí,Villa Langostura,27,,,Decente,Mucho,Sí,Mujer Cis,0,Aguante PyCampana
3/23/2025 21:33:51,Rafaela Santa Fe,402,Auto (de otro PyCampista),4,4,3,Si,Si,Si,Sí,Sí,No,Amigos charlar,7,6,9,8,Sí,San Rafael Mendoza ,17,Leo,cerdo,Me manejo,Nada,No,Varón Cis,0,
3/23/2025 21:36:06,"Rafaela, Santa Fe",400,Auto propio (con otros PyCampistas),4,9,4,Si,No,Si,Sí,No,Sí,Comunidad amigos python pyar,9,5,7,7,Sí,Villa Langostura,32,Virgo,mono,experto,Mucho,No,Mujer Cis,0,Tremendo pycamp! Gracias!
3/23/2025 21:39:50,"Alta Gracia, Córdoba ",700,Auto (de otro PyCampista),4,3,2,Si,No,No,Sí,Sí,Sí,Charlas de la vida ,6,6,7,7,Sí,Langosrura o Alta Gracia ,33,Libra,cabra,Bueno,Mucho,No,Varón Cis,1,
3/23/2025 21:41:15,CABA,140,Ómnibus,3,1,2,Si,No,Si,Sí,Sí,Sí,Aprender a pegar espadazos y conocer gente q sabe mucho (o no) y es copada,8,7,6,9,Sí,,19,Géminis,gallo,A2,Poco,No,Varón Trans,0,
3/23/2025 21:44:29,"San Isidro, Buenos Aires ",150,Auto (de otro PyCampista),4,8,0,No,No,No,Sí,No,No,Las conversaciones ,9,10,10,10,Sí,Córdoba ,55,Géminis,gallo,Principiante,Poco,Sí,Mujer Cis,0,Todo muy bueno 
3/23/2025 22:02:28,San Telmo ,,Auto propio (con otros PyCampistas),4,2,2,Si,No,No,Sí,Sí,Sí,"Comida, juegos, espacio,personas",9,8,8,9,Sí,San Luis ,35,Aries,serpiente,Bueno ,Mucho,No,Varón Cis,0,
3/23/2025 22:02:33,CABAllito,130,Auto (de otro PyCampista),4,4,4,No,No,No,Sí,Sí,Sí,"morfi,ventilastation,debates,eskabio,compartir",10,8,7,9,Sí,Córdoba,49,Géminis,conejo,basic,Poco,No,Varón Cis,2,GraciasPorTantoFacundoBatista!
3/23/2025 22:23:08,"CABA, buenos aires ",200,Auto propio (solo),6,3,3,Si,Si,No,Sí,Sí,Sí,"Reencuentro, charlar, asado, ",8,7,10,9,Sí,Pehuajó ,32,Libra,mono,Zen,Algo,No,Varón Cis,0,"Hermoso evento, hermosa comunidad ❤️ 🐍"
3/23/2025 22:41:55,Ciudad de Buenos Aires,150,Auto propio (solo),3,2,3,Si,Si,Si,Sí,Sí,Sí,"Juegos de mesa, ping pong, la comunidad ^^",9,9,7,9,Sí,Costa Atlántica,35,Cáncer,serpiente,casi algo,Algo,No,Mujer Cis,0,Todo muy bueno! Volvere a participar :D
3/23/2025 22:51:18,"Madrid, España",10000,Auto (de otro PyCampista),4,3,4,Si,No,No,Sí,No,Sí,,6,7,3,7,Tal vez,,33,Virgo,,Avanzado,Mucho,No,Varón Cis,0,
3/23/2025 22:55:16,Bs.As.,150,Auto (de otro PyCampista),3,4,3,Si,Si,Si,Sí,Sí,Sí,El ventilatron y el ping pong,8,8,10,9,Sí,EN EL FRÍOOOOOOOOO,15,Libra,buey,Malo decente,Nada,Sí,Varón Cis,0,=D
3/23/2025 23:43:02,Caba,50,Auto (de otro PyCampista),4,2,3,Si,Si,No,Sí,Sí,Sí,"Keywords, labels, palabras clave",7,8,10,7,Sí,VLA,38,Aries,conejo,Roñoso,Algo,No,Varón Cis,0,Estuvo genial 😃!
3/23/2025 23:43:30,"lanus, buenos aires",200,Auto propio (con otros PyCampistas),3,3,1,Si,Si,No,Sí,Sí,Sí,pingpong ventilastation grupos proposito ,7,7,7,7,Tal vez,barco,46,Tauro,caballo,aceptable,Algo,No,Varón Cis,2,
3/24/2025 0:12:58,CABA,150,Auto (de otro PyCampista),,,4,Si,Si,No,Sí,Sí,Sí,"truco, fernet, eventol, python, comunidad, gente, amigos, charlas, cooperativas",8,7,9,9,Sí,"El sur, reyunos",32,Aries,gallo,Mago,Mucho,No,Varón Cis,1,"Me encanta esta encuesta, quiero graficos a lo largo de los años"
3/24/2025 0:58:36,CABA,150,Auto (de otro PyCampista),3,1,2,Si,No,Si,Sí,Sí,Sí,"gente, bots, comida",8,7,9,10,Sí,,34,Leo,,medio,Algo,No,Mujer Cis,0,gracias por todo ! <3
3/24/2025 1:02:05,"Jesús María, Córdoba ",600,Auto (de otro PyCampista),4,7,2,Si,Si,No,Sí,No,Sí,"Comunidad, amigos, go, python",8,8,7,10,Sí,Villa La Angostura,42,Leo,perro,Klingon,Algo,No,Varón Cis,2,PyAr es Amor
3/24/2025 1:06:45,"Vicente López, Buenos Aires",,Auto (de otro PyCampista),3,3,1,Si,Si,No,Tal vez,No,No,,9,8,9,10,Sí,,34,Virgo,caballo,Me pagan,Mucho,Sí,Mujer Cis,0,Demasiado ruido :(
3/24/2025 1:09:05,"Ituzaingó, Buenos Aires",200,Ómnibus,3,83,3,Si,No,No,Sí,Sí,Sí,gente con pilas,7,6,5,9,Sí,Antártida,49,Sagitario,conejo,bien,Algo,No,Varón Cis,2,mi feedback es que quiero su feedback para armar un loop
3/24/2025 1:09:07,Rafaela,400,Auto propio (con otros PyCampistas),4,15,2,Si,Si,Si,Sí,Sí,Sí,"comunidad, programar",9,6,9,8,Sí,el sur ,37,Cáncer,conejo,experto,Mucho,Sí,Varón Cis,0,pyar es amor
