,city,lats,lngs,size
0,CABA,-34.6075682,-58.4370894,1
1,"vicente lópez, buenos aires",-34.5244484,-58.5036282,1
2,"barracas, buenos aires",-34.6452854,-58.3875619,1
3,"castelli, buenos aires",-36.0867298,-57.8105802,1
4,"florida oeste, vicente lópez, buenos aires",-34.5387664,-58.5144051,1
5,"san isidro, buenos aires",-34.4739792,-58.5264866,1
6,"lanus, buenos aires",-34.7033363,-58.3953235,1
7,"boedo, buenos aires",-34.6302518,-58.41879,1
8,"florida, buenos aires",-34.5322058,-58.4937312,1
9,"villa lugano, caba",-34.6741532,-58.4776892,1
10,"recoleta, buenos aires",-34.587358,-58.39157,1
11,"banfield, buenos aires",-34.7437455,-58.3960811,1
12,"almagro, buenos aires",-34.6099883,-58.4222331,1
13,"quilmes, buenos aires",-34.7303025,-58.268868,1
14,"jesús maría, córdoba",-30.9764132,-64.0957082,1
15,"resistencia, chaco",-27.4511235,-58.9865196,1
16,berazategui,-34.7632677,-58.2116604,1
17,"la plata, buenos aires",-34.9206797,-57.9537638,1
18,córdoba capital,-31.4166867,-64.1834193,1
19,"las perdices, córdoba",-32.6993173,-63.7051586,1
20,gualeguay,-33.1504259,-59.3106789,1
21,corrientes capital,-27.498136,-58.814561,1
22,"formosa, formosa, argentina",-26.1852983,-58.1744976,1
23,"san francisco, córdoba",-31.4249815,-62.0840299,1
24,córdoba,37.8845813,-4.7760138,1
25,"almafuerte, córdoba",-32.1917687,-64.255066,1
26,"ciudad de salta, salta",-24.7891828,-65.4103205,1
27,"alta gracia, córdoba",-31.6578916,-64.4338563,1
28,"rafaela, santa fe",-31.2532729,-61.4874461,1
29,"santa fe, santa fe",35.6876096,-105.938456,1
30,"rosario, santa fe",-32.9593609,-60.6617024,1
31,ciudad evita,-34.7176772,-58.5295556,1
32,"trasla, cordoba",-31.71086934544697,-65.02143036665393,1
